lon,lat,heat_flow_mW_m2,name,reference,id,ridge_lon,signed_distance_km,distance_km
-57.75,15.98,57.3619,Chain-75-44,Schoonmaker_Ladd_1984,R24-077917,-46.8,-1170.5351417369388,1170.5351417369388
-57.9488,16.0729,55.6,ANTI-C04-04,Lucazeau_etal._2014,R24-060518,-46.8,-1191.2315649903244,1191.2315649903244
-23.5817,16.2067,52.3,CVB-6,Courtney_White_1986,R24-025570,-46.5,2447.1296256834516,2447.1296256834516
-23.5817,16.2067,51.5,CVB-5,Courtney_White_1986,R24-025569,-46.5,2447.1296256834516,2447.1296256834516
-23.585,16.2283,47.6,CVB-1,Courtney_White_1986,R24-025565,-46.5,2446.5089874581236,2446.5089874581236
-23.58,16.24,53.9,CVRISEB,Courtney_White_1986,R24-025681,-46.5,2446.897316609338,2446.897316609338
-23.5883,16.245,59.0,CVB-4,Courtney_White_1986,R24-025568,-46.5,2445.949038495744,2445.949038495744
-23.5883,16.2467,45.0,CVB-3,Courtney_White_1986,R24-025567,-46.5,2445.9278912570285,2445.9278912570285
-23.5933,16.2483,52.3,CVB-2,Courtney_White_1986,R24-025566,-46.5,2445.3742176728924,2445.3742176728924
-58.6167,16.3,46.0,CH-36-10,Schoonmaker_Ladd_1984,R24-077912,-46.5,-1293.161464913957,1293.161464913957
-58.6167,16.3,46.0,CH-36-10,Arnaiz-Rodriguez_Orihuela_2013,R24-003549,-46.5,-1293.161464913957,1293.161464913957
-58.6167,16.3,46.0,CH-36-10,Birch_1970,R24-005262,-46.5,-1293.161464913957,1293.161464913957
-58.6167,16.3,46.0,CH-36-10,Birch_1964,R24-005246,-46.5,-1293.161464913957,1293.161464913957
-58.6167,16.3,46.0,CH-36-10,Birch_1964,R24-005247,-46.5,-1293.161464913957,1293.161464913957
-59.1617,16.3633,56.0,GS7304-009,Schoonmaker_Ladd_1984,R24-077923,-46.6266,-1337.3824181624775,1337.3824181624775
-59.1617,16.3633,56.0,GS7304-009,Schubert_Peter_1974,R24-077970,-46.6266,-1337.3824181624775,1337.3824181624775
-59.1617,16.3633,56.0,GS7304-009,Arnaiz-Rodriguez_Orihuela_2013,R24-003560,-46.6266,-1337.3824181624775,1337.3824181624775
-58.5796,16.3732,46.5,ANTI-04-02,Lucazeau_etal._2014,R24-060497,-46.64640000000001,-1273.1004905323844,1273.1004905323844
-57.65,16.4,29.0,Zep-9,Nason_Lee_1964,R24-070589,-46.7,-1168.046545518849,1168.046545518849
-57.65,16.4,29.0,Zep-9,Nason_Lee_1962,R24-070569,-46.7,-1168.046545518849,1168.046545518849
-57.65,16.4,29.0,Zep-9,Arnaiz-Rodriguez_Orihuela_2013,R24-003676,-46.7,-1168.046545518849,1168.046545518849
-57.65,16.4,29.0,Zep-9,Schoonmaker_Ladd_1984,R24-077965,-46.7,-1168.046545518849,1168.046545518849
-58.5815,16.4414,81.6,ANTI-04-01,Lucazeau_etal._2014,R24-060496,-46.6586,-1271.555878806881,1271.555878806881
-21.7333,16.45,53.0,AII-42-01,VonHerzen_Simmons_1972,R24-087192,-46.650000000000006,2657.2035860475867,2657.2035860475867
-31.56666667,16.55,24.0,V26-10,Herman_etal._1977,R24-047378,-46.55,1597.0489289108298,1597.0489289108298
-31.56666667,16.55,24.0,V26-10,Ludwig_Rabinowitz_1975,R24-060589,-46.55,1597.0489289108298,1597.0489289108298
-31.56666667,16.55,24.0,V26-10,Langseth_etal._1974,R24-053369,-46.55,1597.0489289108298,1597.0489289108298
-58.91894035,16.55384922,79.1,C15-37,Schoonmaker_Ladd_1984,R24-077901,-46.546150780000005,-1318.7690192484536,1318.7690192484536
-57.8667,16.5583,42.0,CH-36-07,Arnaiz-Rodriguez_Orihuela_2013,R24-003546,-46.541700000000006,-1207.0612023248614,1207.0612023248614
-57.8667,16.5583,42.0,CH-36-07,Birch_1970,R24-005260,-46.541700000000006,-1207.0612023248614,1207.0612023248614
-57.8667,16.5583,42.0,CH-36-07,Schoonmaker_Ladd_1984,R24-077909,-46.541700000000006,-1207.0612023248614,1207.0612023248614
-57.8667,16.5583,42.0,CH-36-07,Birch_1964,R24-005240,-46.541700000000006,-1207.0612023248614,1207.0612023248614
-57.8667,16.5583,42.0,CH-36-07,Birch_1964,R24-005239,-46.541700000000006,-1207.0612023248614,1207.0612023248614
-58.912,16.5767,79.0,C15-37,LDEO_2004,R24-055146,-46.523300000000006,-1320.3082137047181,1320.3082137047181
-58.9117,16.5767,79.1,C15-37,Abbott_2008,R24-000434,-46.523300000000006,-1320.2762416282205,1320.2762416282205
-57.9,16.5833,42.0,CH-36-08,Arnaiz-Rodriguez_Orihuela_2013,R24-003547,-46.5167,-1213.1175217625182,1213.1175217625182
