lon,lat,seafloor_age_Ma,source
-47.5,10.0,46.32590103149414,EarthByte_Seton_2020_GeeK2007
-47.4,10.0,45.63410186767578,EarthByte_Seton_2020_GeeK2007
-47.3,10.0,45.42356872558594,EarthByte_Seton_2020_GeeK2007
-47.2,10.0,44.370155334472656,EarthByte_Seton_2020_GeeK2007
-47.1,10.0,43.56196975708008,EarthByte_Seton_2020_GeeK2007
-47.0,10.0,42.87212371826172,EarthByte_Seton_2020_GeeK2007
-46.9,10.0,42.18308639526367,EarthByte_Seton_2020_GeeK2007
-46.8,10.0,41.49350357055664,EarthByte_Seton_2020_GeeK2007
-46.7,10.0,40.6256217956543,EarthByte_Seton_2020_GeeK2007
-46.6,10.0,40.07002639770508,EarthByte_Seton_2020_GeeK2007
-46.5,10.0,39.203453063964844,EarthByte_Seton_2020_GeeK2007
-46.4,10.0,38.69599533081055,EarthByte_Seton_2020_GeeK2007
-46.3,10.0,37.85206604003906,EarthByte_Seton_2020_GeeK2007
-46.2,10.0,37.20258712768555,EarthByte_Seton_2020_GeeK2007
-46.1,10.0,36.72715759277344,EarthByte_Seton_2020_GeeK2007
-46.0,10.0,36.13505554199219,EarthByte_Seton_2020_GeeK2007
-45.9,10.0,35.333213806152344,EarthByte_Seton_2020_GeeK2007
-45.8,10.0,34.57820129394531,EarthByte_Seton_2020_GeeK2007
-45.7,10.0,34.02805709838867,EarthByte_Seton_2020_GeeK2007
-45.6,10.0,33.519344329833984,EarthByte_Seton_2020_GeeK2007
-45.5,10.0,32.80443572998047,EarthByte_Seton_2020_GeeK2007
-45.4,10.0,32.011688232421875,EarthByte_Seton_2020_GeeK2007
-45.3,10.0,31.24182891845703,EarthByte_Seton_2020_GeeK2007
-45.2,10.0,30.607608795166016,EarthByte_Seton_2020_GeeK2007
-45.1,10.0,29.972087860107422,EarthByte_Seton_2020_GeeK2007
-45.0,10.0,29.336265563964844,EarthByte_Seton_2020_GeeK2007
-44.9,10.0,28.699092864990234,EarthByte_Seton_2020_GeeK2007
-44.8,10.0,28.060762405395508,EarthByte_Seton_2020_GeeK2007
-44.7,10.0,27.42201042175293,EarthByte_Seton_2020_GeeK2007
-44.6,10.0,26.781780242919922,EarthByte_Seton_2020_GeeK2007
-44.5,10.0,26.141468048095703,EarthByte_Seton_2020_GeeK2007
-44.4,10.0,25.49981689453125,EarthByte_Seton_2020_GeeK2007
