"lon","lat","heat_flow_mW_m2","name","reference","id"
"-57.7282","14.34","54","RC26-2F","Langseth_etal._1990","R24-053838"
"-57.645","14.34","63","C26-1K","Abbott_2008","R24-000683"
"-57.565","14.34","54","C26-1B","Abbott_2008","R24-000674"
"-57.8447","14.3405","45","RC26-4E","Langseth_etal._1990","R24-053854"
"-57.9257","14.3417","45","RC26-5D","Langseth_etal._1990","R24-053864"
"-57.9233","14.3417","43","C26-5D","Abbott_2008","R24-000716"
"-57.8933","14.3417","26","RC26-4J","Langseth_etal._1990","R24-053859"
"-57.8817","14.3417","28","C26-4I","Abbott_2008","R24-000710"
"-57.87","14.3417","39","C26-4H","Abbott_2008","R24-000709"
"-57.62","14.3417","41","RC26-10C","Langseth_etal._1990","R24-053791"
"-57.6183","14.3417","41","C26-10C","Abbott_2008","R24-000641"
"-57.5867","14.3417","53","RC26-1D","Langseth_etal._1990","R24-053825"
"-57.575","14.3417","55","C26-1C","Abbott_2008","R24-000675"
"-57.885","14.3428","29","RC26-4I","Langseth_etal._1990","R24-053858"
"-57.8715","14.3428","41","RC26-4H","Langseth_etal._1990","R24-053857"
"-57.7282","14.343","58","RC26-2H","Langseth_etal._1990","R24-053840"
"-57.9117","14.3433","43","C26-5C","Abbott_2008","R24-000715"
"-57.7883","14.3433","42","C26-3B","Abbott_2008","R24-000699"
"-57.7308","14.3433","65","RC26-2I","Langseth_etal._1990","R24-053841"
"-57.7238","14.3433","57","RC26-2G","Langseth_etal._1990","R24-053839"
"-57.5683","14.3433","54","RC26-1B","Langseth_etal._1990","R24-053824"
"-57.9125","14.3442","45","RC26-5C","Langseth_etal._1990","R24-053863"
"-57.9417","14.345","32","C26-5E","Abbott_2008","R24-000717"
"-57.9445","14.3455","35","RC26-5E","Langseth_etal._1990","R24-053865"
"-57.7887","14.3457","43","RC26-3B","Langseth_etal._1990","R24-053847"
"-57.9567","14.3467","33","C26-5G","Abbott_2008","R24-000718"
"-57.9583","14.348","34","RC26-5G","Langseth_etal._1990","R24-053866"
"-57.8788","14.3483","47","RC26-5B","Langseth_etal._1990","R24-053862"
"-57.9767","14.35","36","RC26-5H","Langseth_etal._1990","R24-053867"
"-57.8783","14.35","45","C26-5B","Abbott_2008","R24-000714"
"-57.975","14.3517","35","C26-5H","Abbott_2008","R24-000719"
"-57.78","14.3517","39","C26-3A","Abbott_2008","R24-000698"
"-57.78","14.355","40","RC26-3A","Langseth_etal._1990","R24-053846"
"-57.6217","14.3583","48","C26-10A","Abbott_2008","R24-000640"
"-57.6217","14.3583","48","RC26-10A","Langseth_etal._1990","R24-053790"
"-57.995","14.3633","48","C26-5I","Abbott_2008","R24-000720"
"-58.0117","14.365","47","C26-5J","Abbott_2008","R24-000721"
"-57.9955","14.365","51","RC26-5I","Langseth_etal._1990","R24-053868"
"-58.0133","14.367","48","RC26-5J","Langseth_etal._1990","R24-053869"
"-58.0267","14.3683","47","C26-5K","Abbott_2008","R24-000722"
"-58.0283","14.369","48","RC26-5K","Langseth_etal._1990","R24-053870"
"-58.1417","14.3717","36","C26-6A","Abbott_2008","R24-000726"
"-58.15","14.3733","36","RC26-6A","Langseth_etal._1990","R24-053874"
"-58.0917","14.3733","38","C26-5N","Abbott_2008","R24-000725"
"-58.05","14.3733","36","RC26-5L","Langseth_etal._1990","R24-053871"
"-58.1183","14.374","39","RC26-5N","Langseth_etal._1990","R24-053873"
"-58.0733","14.3742","29","RC26-5M","Langseth_etal._1990","R24-053872"
"-58.0617","14.375","29","C26-5M","Abbott_2008","R24-000724"
"-58.16","14.38","37","RC26-6B","Langseth_etal._1990","R24-053875"
"-58.16","14.38","36","C26-6B","Abbott_2008","R24-000727"
"-58.245","14.3817","20","C26-7H","Abbott_2008","R24-000735"
"-58.2","14.3817","48","C26-6H","Abbott_2008","R24-000730"
"-58.2533","14.3833","20","RC26-7H","Langseth_etal._1990","R24-053881"
