lon,lat,chron,anomaly_end,quality,age_Ma,reference,doi,method,source
-46.5578,15.4335,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4133,15.456100000000001,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4167,15.4649,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.81969999999998,15.4729,C4n.1n,y,1,7.432,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.5188,15.4838,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-44.3414,15.486,C5Dn,y,1,17.277,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.797,15.497999999999998,C4n.1n,y,1,7.432,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.424799999999976,15.5004,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.32769999999999,15.51,C5n.2n,o,1,10.949,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.058499999999995,15.510200000000001,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.31219999999999,15.512,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.78439999999997,15.518800000000002,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.308899999999994,15.5208,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.53519999999999,15.524400000000002,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.0085,15.524699999999998,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.9487,15.526399999999999,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.450499999999984,15.5409,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-45.742199999999976,15.5463,C4n.2n,o,1,8.072,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.246399999999994,15.549999999999999,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-35.60000000000001,15.549999999999999,C33n,y,1,73.619,Klitgord+Schouten_1986_WNAtlReg,N/A,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.600200000000015,15.556700000000001,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.5976,15.5573,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.6033,15.557799999999993,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
