lon,lat,depth_m,source,dist_km,slope_m_per_km
-45.0,26.0,-3751.92,ETOPO_2022_v1_15s_bed_elev,599.6480282808121,-50.18343858525512
-44.9,26.0,-4219.5,ETOPO_2022_v1_15s_bed_elev,609.6421620854924,13.46539906609803
-44.8,26.0,-3482.77,ETOPO_2022_v1_15s_bed_elev,619.6362958901726,80.25708037092753
-44.7,26.0,-2615.3,ETOPO_2022_v1_15s_bed_elev,629.6304296948523,12.248685318053958
-44.6,26.0,-3237.94,ETOPO_2022_v1_15s_bed_elev,639.6245634995327,-38.111857159809375
-44.5,26.0,-3377.09,ETOPO_2022_v1_15s_bed_elev,649.618697304213,-11.554778258614022
-44.4,26.0,-3468.9,ETOPO_2022_v1_15s_bed_elev,659.6128311088934,3.179365077653813
-44.3,26.0,-3313.54,ETOPO_2022_v1_15s_bed_elev,669.6069649135737,13.433880576736726
-44.2,26.0,-3200.38,ETOPO_2022_v1_15s_bed_elev,679.6010987182533,17.32516327917409
-44.1,26.0,-2967.24,ETOPO_2022_v1_15s_bed_elev,689.5952325229338,-5.1380140594030195
-44.0,26.0,-3303.08,ETOPO_2022_v1_15s_bed_elev,699.5893663276141,-38.13787242086994
-43.9,26.0,-3729.55,ETOPO_2022_v1_15s_bed_elev,709.5835001322944,-23.37271088872265
-43.8,26.0,-3770.26,ETOPO_2022_v1_15s_bed_elev,719.5776339369747,9.51207997190238
-43.7,26.0,-3539.42,ETOPO_2022_v1_15s_bed_elev,729.5717677416544,0.7214232009417856
-43.6,26.0,-3755.84,ETOPO_2022_v1_15s_bed_elev,739.5659015463347,-16.922427026221953
-43.5,26.0,-3877.67,ETOPO_2022_v1_15s_bed_elev,749.560035351015,14.769664173484728
-43.4,26.0,-3460.62,ETOPO_2022_v1_15s_bed_elev,759.5541691556954,27.119909068364592
-43.3,26.0,-3335.59,ETOPO_2022_v1_15s_bed_elev,769.5483029603757,-10.755809567976968
-43.2,26.0,-3675.61,ETOPO_2022_v1_15s_bed_elev,779.5424367650553,-39.84787554210135
-43.1,26.0,-4132.08,ETOPO_2022_v1_15s_bed_elev,789.5365705697357,-9.566611961431647
-43.0,26.0,-3866.83,ETOPO_2022_v1_15s_bed_elev,799.5307043744161,35.34923655260167
-42.9,26.0,-3425.51,ETOPO_2022_v1_15s_bed_elev,809.5248381790965,14.447475171122392
-42.8,26.0,-3578.05,ETOPO_2022_v1_15s_bed_elev,819.5189719837766,-1.0070907791207162
-42.7,26.0,-3445.64,ETOPO_2022_v1_15s_bed_elev,829.5131057884562,0.6443780047248708
-42.6,26.0,-3565.17,ETOPO_2022_v1_15s_bed_elev,839.5072395931368,-19.623511535152403
-42.5,26.0,-3837.88,ETOPO_2022_v1_15s_bed_elev,849.501373397817,-14.84170643488261
-42.4,26.0,-3861.83,ETOPO_2022_v1_15s_bed_elev,859.4955072024974,4.471122847992433
-42.3,26.0,-3748.51,ETOPO_2022_v1_15s_bed_elev,869.4896410071777,5.649814291415112
-42.2,26.0,-3748.9,ETOPO_2022_v1_15s_bed_elev,879.4837748118574,-20.23937281140553
-42.1,26.0,-4153.06,ETOPO_2022_v1_15s_bed_elev,889.4779086165377,-5.598284062777111
