lat,lon,depth_m
31.2,-41.0,-2091.8
31.3,-41.0,-1395.65
31.4,-40.9,-2238.01
31.5,-40.8,-1721.42
31.6,-40.7,-2344.77
31.7,-40.7,-2325.23
31.8,-40.5,-2484.0
31.9,-40.5,-2187.35
32.0,-40.5,-1822.68
32.1,-40.3,-1934.78
32.2,-40.3,-2154.76
32.3,-40.1,-1942.72
32.4,-39.9,-2008.25
32.5,-39.8,-1876.95
32.6,-39.7,-2403.47
32.7,-39.7,-2210.56
32.8,-39.6,-1798.41
32.9,-39.4,-1686.29
33.0,-39.4,-1998.58
33.1,-39.0,-2388.08
33.2,-39.0,-2056.51
33.3,-38.9,-1731.52
33.4,-38.9,-1868.45
33.5,-38.9,-1833.58
33.6,-38.7,-2114.49
33.7,-38.4,-2341.46
33.8,-38.3,-1940.4
33.9,-38.1,-1315.15
34.0,-37.5,-1769.79
34.1,-37.5,-2056.02
34.2,-37.6,-1613.64
34.3,-37.6,-1471.75
34.4,-37.3,-1960.03
34.5,-36.8,-2056.76
34.6,-36.8,-2171.95
34.7,-36.8,-1604.84
34.8,-36.7,-1651.72
34.9,-36.2,-1648.13
35.0,-36.2,-1820.3
35.1,-36.2,-1693.02
35.2,-35.1,-1768.44
35.3,-34.5,-1265.67
35.4,-34.5,-1597.63
35.5,-34.4,-1603.01
35.6,-34.3,-1893.96
35.7,-34.0,-1910.25
35.8,-34.0,-1547.07
35.9,-33.9,-1197.45
36.0,-33.9,-1345.59
36.1,-33.9,-1583.75
36.2,-33.8,-1594.52
36.3,-33.8,-1335.24
36.4,-33.8,-1412.26
36.5,-33.4,-1372.65
36.6,-32.7,-1624.82
36.7,-32.6,-1448.66
36.8,-32.5,-1204.8
36.9,-32.1,-1014.58
37.0,-32.1,-1355.33
37.1,-32.1,-654.82
37.2,-31.8,-619.94
37.3,-31.5,-531.08
37.4,-31.4,-580.63
37.5,-30.8,-799.48
37.6,-29.2,-752.78
37.7,-29.2,-393.85
37.8,-29.1,-500.03
37.9,-29.1,-353.57
38.0,-29.1,-481.07
38.1,-29.1,-378.49
38.2,-29.0,-466.57
38.3,-28.7,-722.28
38.4,-28.7,-150.68
38.5,-28.4,730.98
38.6,-28.2,324.53
38.7,-28.0,380.04
38.8,-28.0,70.31
38.9,-27.3,-578.37
39.0,-27.3,-218.76
39.1,-28.0,-186.31
39.2,-28.1,-902.83
39.3,-31.2,-949.98
39.4,-31.2,175.96
39.5,-31.2,186.25
39.6,-31.2,-559.86
39.7,-31.1,153.74
39.8,-31.1,-1400.46
39.9,-29.4,-1207.76
40.0,-29.4,-1502.91
